losses/explained_variance,losses/entropy,losses/approx_kl,charts/episodic_length,_timestamp,charts/SPS,charts/learning_rate,_runtime,charts/episodic_return,global_step,losses/clipfrac,_step,losses/value_loss,losses/old_approx_kl,losses/policy_loss
,,,500.0,1763260538.7396488,,,482.48825693130493,500.0,371518,,3883,,,
-5.555152893066406e-05,0.5489917993545532,2.5408342480659485e-05,,1763260538.8289433,816.0,7.711213402217254e-05,482.5775513648987,,371584,0.0,3884,823.9594116210938,0.0019991807639598846,-0.00045786984264850616
0.011742770671844482,0.5785468816757202,0.00014221388846635818,,1763260539.1626263,816.0,7.688171899644658e-05,482.9112343788147,,371968,0.0,3887,0.00031455859425477684,0.0015872763469815254,-0.0017746761441230774
-0.02867257595062256,0.5867668390274048,0.00011539086699485779,,1763260539.5005352,816.0,7.665130397072062e-05,483.2491433620453,,372352,0.0,3891,0.0005572510417550802,0.001062421128153801,-0.0016190558671951294
,,,500.0,1763260540.1102269,,,483.85883498191833,500.0,373018,,3898,,,
,,,500.0,1763260541.4117148,,,485.1603229045868,500.0,374518,,3912,,,
-0.019249677658081055,0.6075088381767273,1.049879938364029e-05,,1763260541.719631,818.0,7.519200880778953e-05,485.468239068985,,374784,0.0,3915,0.00034938211319968104,-0.0008994089439511299,7.727090269327164e-05
-1.4781951904296875e-05,0.5615071654319763,1.1586584150791168e-05,,1763260542.9058218,818.0,7.442396599799395e-05,486.65442991256714,,376064,0.0,3928,817.6312866210938,-0.0014942465350031853,-0.0006758086383342743
0.013078093528747559,0.5672656297683716,1.3188458979129791e-05,,1763260544.3978894,819.0,7.342550088651478e-05,488.14649748802185,,377728,0.0,3944,0.0026336205191910267,-0.0015908507630228996,-0.0008943751454353333
-0.1452188491821289,0.5660386085510254,0.0001458432525396347,,1763260544.5098746,819.0,7.334869587793946e-05,488.25848269462585,,377856,0.0,3945,0.0006251169834285975,6.303004920482635e-05,-0.0033157486468553543
-0.07709372043609619,0.5822604894638062,0.00012963265180587769,,1763260544.6216133,819.0,7.327189086936414e-05,488.37022137641907,,377984,0.0,3946,0.0003285827406216413,-0.00020306743681430817,0.0010634828358888626
-0.03607738018035889,0.5511754155158997,1.772213727235794e-05,,1763260545.334958,820.0,7.281106081791222e-05,489.08356618881226,,378752,0.0,3954,0.0021843945141881704,0.00020550470799207687,0.0012037605047225952
-0.09784460067749023,0.5648972988128662,1.6569159924983978e-05,,1763260546.1548786,820.0,7.227342575788498e-05,489.9034867286682,,379648,0.0,3963,0.003236961318179965,-0.00018757302314043045,0.00039429590106010437
