losses/clipfrac,charts/episodic_return,_timestamp,charts/learning_rate,losses/old_approx_kl,_runtime,global_step,_step,losses/value_loss,losses/explained_variance,charts/SPS,losses/entropy,losses/approx_kl,losses/policy_loss,charts/episodic_length
0.0,500.0,1763260427.0645897,0.00018133640696760267,-0.012040467001497746,368.5840346813202,197888,2198,123.72018432617188,-0.00039970874786376953,578.0,0.4874995946884155,0.00045759323984384537,-0.002298247069120407,500.0
0.0,,1763260427.2920306,0.00018125960195902735,-0.003535442054271698,368.8114755153656,198016,2199,0.00643418962135911,-0.5749469995498657,578.0,0.5010101795196533,0.0013868920505046844,-0.0036425217986106873,
0.001953125,,1763260429.408038,0.00018049155187327415,0.002270154654979706,370.92748284339905,199296,2211,0.00015907769557088614,-0.5518544912338257,578.0,0.5693705081939697,0.0004956796765327454,-0.002224225550889969,
0.0,,1763260429.8345423,0.0001803379418561235,-0.003809703513979912,371.35398721694946,199552,2214,0.005102469120174646,0.3097769618034363,578.0,0.5166643261909485,0.0005965977907180786,-0.00018395483493804932,
0.0,,1763260430.601905,0.0001799539168132469,0.0008092345669865608,372.12135004997253,200192,2220,0.00019208893354516476,-0.14810645580291748,578.0,0.5258976221084595,0.00031844619661569595,-0.0018152594566345215,
0.0,,1763260430.9182086,0.00017980030679609627,-0.002921071834862232,372.43765354156494,200448,2223,227.3031768798828,0.0001061558723449707,579.0,0.429394006729126,0.00020721275359392166,0.00034342706203460693,
0.009765625,,1763260431.2106404,0.00017964669677894562,0.04277120530605316,372.7300853729248,200704,2225,0.0002694853174034506,0.08475315570831299,579.0,0.4637848734855652,0.0074857305735349655,-0.04050469398498535,
0.0,,1763260431.358751,0.0001795698917703703,-0.009625332430005074,372.87819600105286,200832,2226,0.00012408074690029025,-0.056531667709350586,579.0,0.5299825072288513,0.0015728287398815155,0.007124194875359535,
,500.0,1763260431.392933,,,372.91237783432007,200888,2227,,,,,,,500.0
0.0,,1763260431.9992557,0.00017926267173606902,-0.009235205128788948,373.5187005996704,201344,2231,0.0001556959468871355,-0.6958296298980713,579.0,0.5124154090881348,0.0010639466345310211,-0.014117017388343811,
